title,style,alcohol_percentage,volume_centiliter,container_type,in_stock_status,price_pounds,beer_image_url,beer_details_url,last_updated_at_UTC
Alfa - 8L BLADE Keg,Lager,5.0,800.0,BladeKeg,True,34.99,https://www.beerwulf.com/globalassets/alfa---8l-blade-keg_beer_23909_0.png,https://www.beerwulf.com/en-gb/p/beers/alfa-8l-keg,05-Jun-2022 11:05:39
Tiger - 8L BLADE Keg,Lager,5.0,800.0,BladeKeg,True,30.99,https://www.beerwulf.com/globalassets/tiger---blade-keg_beer_22201_0.png,https://www.beerwulf.com/en-gb/p/beers/tiger--8l-keg,05-Jun-2022 11:05:39
SOL - 8L BLADE Keg,Lager,4.2,800.0,BladeKeg,True,30.99,https://www.beerwulf.com/globalassets/sol---8l-blade-keg_beer_23832_02.png,https://www.beerwulf.com/en-gb/p/beers/sol-8l-keg,05-Jun-2022 11:05:39
St. Feuillien Blond - 2L SUB Keg,Blond Beer,7.0,200.0,Torp,True,11.9925,https://www.beerwulf.com/globalassets/st.-feuillien-blond-torp---2l-keg_1_1.png,https://www.beerwulf.com/en-gb/p/beers/st-feuillien-blond-2l-keg,05-Jun-2022 11:05:39
Lagunitas Hazy Wonder - 2L SUB Keg,IPA,6.0,200.0,Torp,True,14.49,https://www.beerwulf.com/globalassets/lagunitas-hazy-wonder---sub-keg-v2_beer_24036_0.png,https://www.beerwulf.com/en-gb/p/beers/lagunitas-hazy-wonder-2l--keg,05-Jun-2022 11:05:39
Gösser Zwickl - 2L SUB Keg,Lager,5.2,200.0,Torp,True,7.592,https://www.beerwulf.com/globalassets/gosser-zwickl-2l-keg_1_2.png,https://www.beerwulf.com/en-gb/p/beers/gosser-zwickl-2l-keg,05-Jun-2022 11:05:39
Zipfer Urtyp - 2L SUB Keg,Lager,5.4,200.0,Torp,True,8.49,https://www.beerwulf.com/globalassets/zipfer-urtyp-2l-keg_1_1.png,https://www.beerwulf.com/en-gb/p/beers/zipfer-urtyp-2l-keg,05-Jun-2022 11:05:39
Birra Moretti L'Autentica - 2L SUB Keg,Lager,4.6,200.0,Torp,True,8.99,https://www.beerwulf.com/globalassets/birra-moretti-lautentica---sub-keg_beer_15747_02.png,https://www.beerwulf.com/en-gb/p/beers/birra-moretti-lautentica-2l-keg,05-Jun-2022 11:05:39
The SUB Compact Party Starter Pack,,,1600.0,,True,149.0,https://www.beerwulf.com/globalassets/sub--8-birra-moretti-lautentica_skucollection_23730_0.png,https://www.beerwulf.com/en-gb/p/beercases/SUB-Compact-8lautentica,05-Jun-2022 11:05:39
Heineken - 2L SUB Keg,Lager,5.0,200.0,Torp,True,8.49,https://www.beerwulf.com/globalassets/catalog/beerwulf/beers/torps/full-sleeves-without-label/heineken_bw_clear.png,https://www.beerwulf.com/en-gb/p/beers/heineken-2l-keg,05-Jun-2022 11:05:39
BLADE Amstel Starter Pack,,,1600.0,,True,450.0,https://www.beerwulf.com/globalassets/blade-amstel-starter-pack-_skucollection_24299_03.png,https://www.beerwulf.com/en-gb/p/beercases/blade-amstel-starter-pack-,05-Jun-2022 11:05:39
