title,style,alcohol_percentage,volume_centiliter,container_type,in_stock_status,price_pounds,beer_image_url,beer_details_url
Judas,Blond Beer,8.5,33.0,Bottle,True,2.49,https://www.beerwulf.com/globalassets/judas.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/judas2
Hapkin,Blond Beer,8.5,33.0,Bottle,True,2.49,https://www.beerwulf.com/globalassets/hapkin.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/hapkin2
Postel Dubbel,Dubbel Beer,7.0,33.0,Bottle,True,2.69,https://www.beerwulf.com/globalassets/postel-dubbel.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/postel-dubbel2
Chimay Wit,Tripel Beer,8.0,33.0,Bottle,True,3.09,https://www.beerwulf.com/globalassets/chimay-wit.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/chimay-white2
La Trappe Dubbel,Dubbel Beer,7.0,33.0,Bottle,True,2.59,https://www.beerwulf.com/globalassets/la-trappe-dubbel33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/la-trappe-dubbel33
St. Feuillien Tripel,Tripel Beer,8.5,33.0,Bottle,True,2.89,https://www.beerwulf.com/globalassets/st-feuillien-tripel.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/st.-feuillien-tripel.33
Blanche De Silly,White Beer,5.0,25.0,Bottle,True,2.49,https://www.beerwulf.com/globalassets/blanche-de-silly.25_1_1.png,https://www.beerwulf.com/en-gb/p/beers/blanche-de-silly2
Kapittel Watou Blond 6,Blond Beer,6.5,33.0,Bottle,True,2.19,https://www.beerwulf.com/globalassets/kapittel-watou-blond-6.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/kapittel-watou-blond-6.33
Cuvée des Trolls,Blond Beer,7.0,25.0,Bottle,True,2.19,https://www.beerwulf.com/globalassets/cuvee-des-trolls.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/cuvee-des-trolls.33
Duvel Tripel Hop,Blond Beer,9.5,33.0,Bottle,True,3.39,https://www.beerwulf.com/globalassets/duvel-tripel-hop.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/duvel-tripel-hop2
Houblon Chouffe,IPA,9.0,33.0,Bottle,True,3.29,https://www.beerwulf.com/globalassets/la-chouffe-houblon.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/la-chouffe-houblon2
Westmalle Dubbel,Dubbel Beer,7.0,33.0,Bottle,True,2.49,https://www.beerwulf.com/globalassets/westmalle-dubbel.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/westmalle-dubbel2
Chimay Blauw,Quadrupel Beer,9.0,33.0,Bottle,True,3.39,https://www.beerwulf.com/globalassets/chimay-blauw.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/chimay-blue.33
De Koninck Triple D'Anvers,Tripel Beer,8.0,33.0,Bottle,True,3.09,https://www.beerwulf.com/globalassets/de-koninck-triple-danvers.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/de-koninck-triple-danvers2
Gallia West IPA,IPA,6.0,33.0,Bottle,True,2.89,https://www.beerwulf.com/globalassets/gallia-west-ipa.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/gallia-west-ipa.33
Asahi Super Dry,Lager,5.2,33.0,Bottle,True,2.49,https://www.beerwulf.com/globalassets/asahi-super-dry.33_1_02.png,https://www.beerwulf.com/en-gb/p/beers/asahi-super-dry.33
Brussels Beer Project Delta Ipa,IPA,6.0,33.0,Bottle,True,2.85,https://www.beerwulf.com/globalassets/brussels-beer-project-delta-ipa.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/brussels-beer-project-delta-ipa.33
