title,style,alcohol_percentage,volume_centiliter,container_type,in_stock_status,price_pounds,beer_image_url,beer_details_url,last_updated_at_UTC
Affligem Patersvat,Blond Beer,6.8,30.0,Bottle,True,2.49,https://www.beerwulf.com/globalassets/affligem-patersvat.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/affligem-patersvat2,05-Dec-2021 18:39:23
Lindemans Kriek,Fruit Beer,3.5,25.0,Bottle,True,2.19,https://www.beerwulf.com/globalassets/lindemans-kriek.25_1_1.png,https://www.beerwulf.com/en-gb/p/beers/lindemans-kriek.25,05-Dec-2021 18:39:23
La Trappe Quadrupel,Quadrupel Beer,10.0,33.0,Bottle,True,3.29,https://www.beerwulf.com/globalassets/la-trappe-quadrupel33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/la-trappe-quadrupel33,05-Dec-2021 18:39:23
Gulpener Château Neubourg,Pilsner & Hoppy Lager,5.5,33.0,Bottle,True,2.69,https://www.beerwulf.com/globalassets/gulpener-chateau-neubourg.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/gulpener-chateau-neubourg.33,05-Dec-2021 18:39:27
Hertog Jan Grand Prestige,Barley Wine,10.0,30.0,Bottle,True,2.99,https://www.beerwulf.com/globalassets/hertog-jan-grand-prestige.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/hertog-jan-grand-prestige.3,05-Dec-2021 18:39:27
Brewdog Elvis Juice Can,Lager,6.5,33.0,Can,True,2.89,https://www.beerwulf.com/globalassets/brewdog-elvis-juice-can.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/brewdog-elvis-juice-can.33,05-Dec-2021 18:39:27
Beavertown Gamma Ray,Pale Ale,5.4,33.0,Can,True,2.59,https://www.beerwulf.com/globalassets/beavertown-gamma-ray.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/beavertown-gamma-ray.33,05-Dec-2021 18:39:27
Beavertown Neck Oil,IPA,4.3,33.0,Can,True,2.59,https://www.beerwulf.com/globalassets/beavertown-neck-oil.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/beavertown-neck-oil.33,05-Dec-2021 18:39:27
Peroni Nastro Azzurro,Lager,5.1,33.0,Bottle,True,2.49,https://www.beerwulf.com/globalassets/peroni-nastro-azzurro.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/peroni-nastro-azzurro.33,05-Dec-2021 18:39:27
Maisel & Friends Hoppy Hell,Lager,5.3,33.0,Bottle,True,2.39,https://www.beerwulf.com/globalassets/maisel-friends-hoppy-hell_15525_0.png,https://www.beerwulf.com/en-gb/p/beers/maisel--friends-hoppy-hell-bottle-.33,05-Dec-2021 18:39:27
Bush Caractère,Quadrupel Beer,12.0,33.0,Bottle,True,3.49,https://www.beerwulf.com/globalassets/bush-amber.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/bush-amber.33,05-Dec-2021 18:39:27
Brugse Zot Blond,Blond Beer,6.0,33.0,Bottle,True,2.69,https://www.beerwulf.com/globalassets/brugse-zot-blond.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/brugse-zot-blond.33,05-Dec-2021 18:39:27
Duvel,Blond Beer,8.5,33.0,Bottle,True,3.09,https://www.beerwulf.com/globalassets/duvel.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/duvel2,05-Dec-2021 18:39:27
Lefort Tripel,Tripel Beer,8.8,33.0,Bottle,True,3.09,https://www.beerwulf.com/globalassets/lefort-tripel.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/lefort-tripel.33,05-Dec-2021 18:39:27
Grisette Triple Bio,Tripel Beer,8.0,25.0,Bottle,True,2.49,https://www.beerwulf.com/globalassets/grisette-triple-bio.25_1_1.png,https://www.beerwulf.com/en-gb/p/beers/grisette-triple-bio.25,05-Dec-2021 18:39:27
Gallia Session IPA,IPA,4.3,33.0,Bottle,True,2.89,https://www.beerwulf.com/globalassets/gallia-session-ipa.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/gallia-session-ipa.33,05-Dec-2021 18:39:27
"Budels Malty Dark 0,0%",Bock Beer,0.0,30.0,Bottle,True,2.49,https://www.beerwulf.com/globalassets/budels-malty-dark-00.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/budels-malty-dark-00.33,05-Dec-2021 18:39:27
Affligem Blond 0.0%,Blond Beer,0.0,30.0,Bottle,True,1.79,https://www.beerwulf.com/globalassets/affligem-blond-0.0_2_1.png,https://www.beerwulf.com/en-gb/p/beers/affligem-blond-0-0,05-Dec-2021 18:39:27
Palm 0.0,Pale Ale,0.0,25.0,Bottle,True,1.69,https://www.beerwulf.com/globalassets/palm-0.0.25_1_1.png,https://www.beerwulf.com/en-gb/p/beers/palm-0.0.25,05-Dec-2021 18:39:27
BrewDog Punk AF,Pale Ale,0.5,33.0,Can,True,2.29,https://www.beerwulf.com/globalassets/brewdog-punk-afcan.33_14953_02.png,https://www.beerwulf.com/en-gb/p/beers/brewdog-punk-af-can,05-Dec-2021 18:39:27
Ninkasi Blanche,White Beer,4.8,33.0,Bottle,False,2.69,https://www.beerwulf.com/globalassets/ninkasi-blanche.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/ninkasi-blanche.33,05-Dec-2021 18:39:27
Mort Subite Kriek Lambic,Fruit Beer,4.0,25.0,Bottle,False,1.89,https://www.beerwulf.com/globalassets/mort-subite-kriek-lambic.25_14867_0.png,https://www.beerwulf.com/en-gb/p/beers/mort-subite-kriek-lambic-bottle-.25,05-Dec-2021 18:39:27
Brand Weizen,German Wheat Beer,5.1,30.0,Bottle,False,1.89,https://www.beerwulf.com/globalassets/brand-weizen.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/brand-weizen2,05-Dec-2021 18:39:27
Tiger Lager,Lager,5.0,33.0,Bottle,False,2.19,https://www.beerwulf.com/globalassets/tiger_2_0.png,https://www.beerwulf.com/en-gb/p/beers/tiger.33,05-Dec-2021 18:39:27
Desperados,Lager,5.9,33.0,Bottle,False,1.89,https://www.beerwulf.com/globalassets/desperados.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/desperados.33,05-Dec-2021 18:39:27
Orval,Blond Beer,6.2,33.0,Bottle,False,2.69,https://www.beerwulf.com/globalassets/orval.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/orval2,05-Dec-2021 18:39:27
Rochefort 8',Quadrupel Beer,9.2,33.0,Bottle,False,3.39,https://www.beerwulf.com/globalassets/rochefort-8.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/rochefort-82,05-Dec-2021 18:39:27
Zundert Trappist 10,Quadrupel Beer,10.0,33.0,Bottle,False,3.69,https://www.beerwulf.com/globalassets/zundert-trappist-10.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/zundert-trappist-10.33,05-Dec-2021 18:39:27
Paljas Blond,Blond Beer,6.0,33.0,Bottle,False,2.19,https://www.beerwulf.com/globalassets/paljas-blond.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/paljas-blond.33,05-Dec-2021 18:39:27
Vedett Extra White,White Beer,4.7,33.0,Bottle,False,2.29,https://www.beerwulf.com/globalassets/vedett-extra-white.33_1_02.png,https://www.beerwulf.com/en-gb/p/beers/vedett-extra-white.33,05-Dec-2021 18:39:27
Gouden Carolus Tripel,Tripel Beer,9.0,33.0,Bottle,False,3.19,https://www.beerwulf.com/globalassets/gouden-carolus-tripel.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/gouden-carolus-tripel.33,05-Dec-2021 18:39:27
Pistonhead Amber,Amber & Red Ale,6.0,33.0,Can,False,2.39,https://www.beerwulf.com/globalassets/pistonhead-amber.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/pistonhead-amber.33,05-Dec-2021 18:39:27
Oedipus Mannenliefde,Saison Beer,6.0,33.0,Bottle,False,2.99,https://www.beerwulf.com/globalassets/oedipus-mannenliefde.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/oedipus-mannenliefde.33,05-Dec-2021 18:39:27
