BeerID,Title,Style,Container Type,InStock Status,Image Link,Details Link,Alcohol %,Volume (cl),Price (£)
B1063,Palm 0.0,Pale Ale,Bottle,True,https://www.beerwulf.com/globalassets/palm-0.0.25_1_1.png,https://www.beerwulf.com/en-gb/p/beers/palm-0.0.25,0.0,25.0,1.69
B1064,BrewDog Punk AF,Pale Ale,Can,True,https://www.beerwulf.com/globalassets/brewdog-punk-afcan.33_14953_02.png,https://www.beerwulf.com/en-gb/p/beers/brewdog-punk-af-can,0.5,33.0,2.29
B1065,Ninkasi Blanche,White Beer,Bottle,False,https://www.beerwulf.com/globalassets/ninkasi-blanche.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/ninkasi-blanche.33,4.8,33.0,2.69
B1066,Mort Subite Kriek Lambic,Fruit Beer,Bottle,False,https://www.beerwulf.com/globalassets/mort-subite-kriek-lambic.25_14867_0.png,https://www.beerwulf.com/en-gb/p/beers/mort-subite-kriek-lambic-bottle-.25,4.0,25.0,1.89
B1067,Brand Weizen,German Wheat Beer,Bottle,False,https://www.beerwulf.com/globalassets/brand-weizen.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/brand-weizen2,5.1,30.0,1.89
B1068,Tiger Lager,Lager,Bottle,False,https://www.beerwulf.com/globalassets/tiger_2_0.png,https://www.beerwulf.com/en-gb/p/beers/tiger.33,5.0,33.0,2.19
B1069,Desperados,Lager,Bottle,False,https://www.beerwulf.com/globalassets/desperados.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/desperados.33,5.9,33.0,1.89
B1070,Orval,Blond Beer,Bottle,False,https://www.beerwulf.com/globalassets/orval.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/orval2,6.2,33.0,2.69
B1071,Rochefort 8',Quadrupel Beer,Bottle,False,https://www.beerwulf.com/globalassets/rochefort-8.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/rochefort-82,9.2,33.0,3.39
B1072,Zundert Trappist 10,Quadrupel Beer,Bottle,False,https://www.beerwulf.com/globalassets/zundert-trappist-10.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/zundert-trappist-10.33,10.0,33.0,3.69
B1073,Paljas Blond,Blond Beer,Bottle,False,https://www.beerwulf.com/globalassets/paljas-blond.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/paljas-blond.33,6.0,33.0,2.19
B1074,Vedett Extra White,White Beer,Bottle,False,https://www.beerwulf.com/globalassets/vedett-extra-white.33_1_02.png,https://www.beerwulf.com/en-gb/p/beers/vedett-extra-white.33,4.7,33.0,2.29
B1075,Gouden Carolus Tripel,Tripel Beer,Bottle,False,https://www.beerwulf.com/globalassets/gouden-carolus-tripel.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/gouden-carolus-tripel.33,9.0,33.0,3.19
B1076,Pistonhead Amber,Amber & Red Ale,Can,False,https://www.beerwulf.com/globalassets/pistonhead-amber.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/pistonhead-amber.33,6.0,33.0,2.39
B1077,Oedipus Mannenliefde,Saison Beer,Bottle,False,https://www.beerwulf.com/globalassets/oedipus-mannenliefde.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/oedipus-mannenliefde.33,6.0,33.0,2.99
B1078,Beavertown Lupuloid,IPA,Can,False,https://www.beerwulf.com/globalassets/beavertown-lupuloid.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/beavertown-lupuloid.33,6.7,33.0,2.89
B1079,La Cristal IPA du Mont Blanc,IPA,Bottle,False,https://www.beerwulf.com/globalassets/la-cristal-ipa-du-mont-blanc.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/la-cristal-ipa-du-mont-blanc.33,4.7,33.0,2.79
B1080,Oedipus Gaia IPA,IPA,Bottle,False,https://www.beerwulf.com/globalassets/oedipus-gaia-ipa.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/oedipus-gaia-ipa2,7.0,33.0,3.19
B1081,Affligem Tripel,Tripel Beer,Bottle,False,https://www.beerwulf.com/globalassets/affligem-tripel.3_1_02.png,https://www.beerwulf.com/en-gb/p/beers/affligem-tripel2,9.0,30.0,2.19
B1082,Fourpure Hemisphere Session IPA,IPA,Can,False,https://www.beerwulf.com/globalassets/fourpure-session-ipa.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/fourpure-session--ipa,4.2,33.0,2.49
B1083,Fourpure Easy Peeler Session IPA,IPA,Can,False,https://www.beerwulf.com/globalassets/fourpure-easy-peeler-session-ipa.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/fourpure-easy-peeler-session-ipa.33,4.0,33.0,2.39
B1084,Fourpure Base Camp Pils Lager,Pilsner & Hoppy Lager,Can,False,https://www.beerwulf.com/globalassets/fourpure-pils-lager.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/base-camp-pils-lager,4.7,33.0,2.59
B1085,Ninkasi French IPA,IPA,Bottle,False,https://www.beerwulf.com/globalassets/ninkasi-ipa.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/ninkasi-ipa.33,5.4,33.0,2.79
B1086,Ciney Blond,Blond Beer,Bottle,False,https://www.beerwulf.com/globalassets/ciney-blond.25_1_0.png,https://www.beerwulf.com/en-gb/p/beers/ciney-blond.25,7.0,25.0,1.89
B1087,Judas,Blond Beer,Bottle,False,https://www.beerwulf.com/globalassets/judas.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/judas2,8.5,33.0,2.49
B1088,Hapkin,Blond Beer,Bottle,False,https://www.beerwulf.com/globalassets/hapkin.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/hapkin2,8.5,33.0,2.49
B1089,Postel Dubbel,Dubbel Beer,Bottle,False,https://www.beerwulf.com/globalassets/postel-dubbel.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/postel-dubbel2,7.0,33.0,2.69
B1090,Chimay Wit,Tripel Beer,Bottle,False,https://www.beerwulf.com/globalassets/chimay-wit.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/chimay-white2,8.0,33.0,3.09
B1091,La Trappe Dubbel,Dubbel Beer,Bottle,False,https://www.beerwulf.com/globalassets/la-trappe-dubbel33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/la-trappe-dubbel33,7.0,33.0,2.59
B1092,Kapittel Watou Blond 6,Blond Beer,Bottle,False,https://www.beerwulf.com/globalassets/kapittel-watou-blond-6.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/kapittel-watou-blond-6.33,6.5,33.0,2.19
B1093,Cuvée des Trolls,Blond Beer,Bottle,False,https://www.beerwulf.com/globalassets/cuvee-des-trolls.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/cuvee-des-trolls.33,7.0,25.0,2.19
B1094,Duvel Tripel Hop,Blond Beer,Bottle,False,https://www.beerwulf.com/globalassets/duvel-tripel-hop.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/duvel-tripel-hop2,9.5,33.0,3.39
B1095,Asahi Super Dry,Lager,Bottle,False,https://www.beerwulf.com/globalassets/asahi-super-dry.33_1_02.png,https://www.beerwulf.com/en-gb/p/beers/asahi-super-dry.33,5.2,33.0,2.49
B1096,Stone Go To IPA ,IPA,Can,False,https://www.beerwulf.com/globalassets/stone-go-to-ipacan.36_15352_0.png,https://www.beerwulf.com/en-gb/p/beers/stone-go-to-ipa-can,4.7,36.0,2.69
B1097,Vedett Extra Ordinary IPA,IPA,Bottle,False,https://www.beerwulf.com/globalassets/vedett-extra-ordinary-ipa.33_1_02.png,https://www.beerwulf.com/en-gb/p/beers/vedett-extra-ordinary-ipa2,5.5,33.0,2.49
B1098,Affligem Blond,Blond Beer,Bottle,False,https://www.beerwulf.com/globalassets/affligem-blond-uk_1_0.png,https://www.beerwulf.com/en-gb/p/beers/affligem-blond.3_2,6.8,30.0,1.89
B1099,Fourpure IPA,IPA,Can,False,https://www.beerwulf.com/globalassets/fourpure-shapeshifter-ipa.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/fourpure-shapeshifter-ipa.33,5.9,33.0,2.69
B1100,Fourpure Juicebox Citrus IPA,IPA,Can,False,https://www.beerwulf.com/globalassets/fourpure-juicebox-citrus-ipacan.33_14842_0.png,https://www.beerwulf.com/en-gb/p/beers/fourpure-juicebox-citrus-ipa-can,5.9,33.0,2.69
B1101,Fourpure Last Train Oatmeal Stout,Porter & Stout,Can,False,https://www.beerwulf.com/globalassets/fourpure-oatmeal-stout.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/fourpure-oatmeal--stout,5.1,33.0,2.59
B1102,Ninkasi Triple,Tripel Beer,Bottle,False,https://www.beerwulf.com/globalassets/ninkasi-triple.33_1_2.png,https://www.beerwulf.com/en-gb/p/beers/ninkasi-triple.33,8.4,33.0,3.19
B1103,Ninkasi Pale Ale,Amber & Red Ale,Bottle,False,https://www.beerwulf.com/globalassets/ninkasi-ambree.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/ninkasi-ambree-.33,4.5,33.0,2.59
B1104,Westmalle Tripel,Tripel Beer,Bottle,False,https://www.beerwulf.com/globalassets/westmalle-tripel.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/westmalle-tripel2,9.5,33.0,2.99
B1105,Ename Blond,Blond Beer,Bottle,False,https://www.beerwulf.com/globalassets/ename-blond.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/ename-blond2,6.5,33.0,2.49
B1106,Grimbergen Triple,Tripel Beer,Bottle,False,https://www.beerwulf.com/globalassets/grimbergen-triple.33_1_02.png,https://www.beerwulf.com/en-gb/p/beers/grimbergen-triple2,9.0,33.0,3.29
B1107,Steenbrugge Dubbel,Dubbel Beer,Bottle,False,https://www.beerwulf.com/globalassets/steenbrugge-dubbel.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/steenbrugge-dubbel2,6.5,33.0,2.79
B1108,La Chouffe Blonde D'ardenne,Blond Beer,Bottle,False,https://www.beerwulf.com/globalassets/la-chouffe-blonde-dardenne.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/la-chouffe-blonde-dardenne2,8.0,33.0,3.09
B1109,Delirium Tremens,Blond Beer,Bottle,False,https://www.beerwulf.com/globalassets/delirium-tremens.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/delirium-tremens2,8.5,33.0,3.09
B1110,Leffe Bruin,Dubbel Beer,Bottle,False,https://www.beerwulf.com/globalassets/leffe-bruin-dubbel.3_1_1.png,https://www.beerwulf.com/en-gb/p/beers/leffe-brown-dubbel2,6.5,30.0,2.69
B1111,Brixton Low Voltage,IPA,Can,False,https://www.beerwulf.com/globalassets/brixton-low-voltage.33_1_0.png,https://www.beerwulf.com/en-gb/p/beers/brixton-low-voltage.33,4.3,33.0,2.69
B1112,Steamworks Killer Cucumber Ale,Pale Ale,Bottle,False,https://www.beerwulf.com/globalassets/steamworks-killer-cucumber-ale.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/steamworks-killer-cucumber-ale.33,4.7,33.0,2.99
B1113,Paljas IPA,IPA,Bottle,False,https://www.beerwulf.com/globalassets/paljas-ipa.33_1_1.png,https://www.beerwulf.com/en-gb/p/beers/paljas-ipa.33,6.0,33.0,2.29
B1114,Ninkasi Brut IPA,IPA,Bottle,False,https://www.beerwulf.com/globalassets/ninkasi-brut-ipabottle.33_14912_0.png,https://www.beerwulf.com/en-gb/p/beers/ninkasi-brut-ipa-bottle-.33,5.6,33.0,3.29
